"id","age","indivcollect","rebel","indivchoice","belief_01","belief_02","conf_01","ar_01","apth_01","apth_02","agn_01","mean_01","rid_01","rp_01","rp_02","rp_03","snb_01","snb_02","snb_03","snb_04","snb_05","snb_06","snb_07","snb_08","snb_09","snb_10","snb_11","snb_12","snb_13","snb_14","snb_15","snb_16","snb_17","am_03","fsex","fissp_01","fissp_02","frid_02","fsnb_16","fsnb_17","fnation"
1,33.83,4.19,2.01,3.69,3.43,6.2,3.2,3.01,3.13,2.06,3.71,2.06,1,1.27,1.8,1,1.99,3.07,3.87,5.99,3.51,5.53,4.92,3.62,3,3.58,4.2,2.8,3.7,3.66,2.88,3,1,1.97,"Female","I find myself believing in God some of the time, but not at others","Rationalist","Sunni","No, I’ve never had an experience like this.","Yes.","Brazil"
2,35.12,3.43,3.22,4.42,2.99,5.95,3.93,1.94,4.38,4.88,4.43,1.31,0,0.07,0.74,0.91,5.67,4.36,3.53,1.13,4.45,3.12,5.2,3.94,4.97,4.2,2.98,2.28,4.56,4.25,3.71,1,1,1.21,"Female","While I have doubts, I feel that I do believe in God","Other","Catholic","Yes, I’ve had an experience like this.","Yes.","Brazil"
3,42.31,5.52,4.94,4.51,4.13,6.81,4.33,2.28,2.32,3.45,5.49,3.8,1,1.95,2.14,1.9,5.85,3.09,3.68,4.91,3.46,5.48,1.21,3.64,5.14,3.03,4.94,3.47,3.67,3.31,3.16,3,2,1.24,"Male","Don't Know","Jewish","Orthodox","No, I’ve never had an experience like this.","No","Brazil"
4,39.12,6.56,1.79,3.59,4.44,5.47,4.16,3.8,2.38,2.83,5.29,5.51,0,0.33,0.26,1.18,3.23,5.14,3.89,2.89,2.46,3.49,5.18,3.5,5.48,3.06,5.43,4.12,2.62,3.02,4.72,1,1,0.95,"Female","I find myself believing in God some of the time, but not at others","Christian","Catholic","Yes, I’ve had an experience like this.","Yes.","Brazil"
5,34.76,2.94,3.39,4.49,2.63,6.61,2.72,2.78,2.47,2.92,4.55,3.28,1,0.53,1.79,1,5.38,4.12,3.97,3.69,4.46,4.76,4.67,4.91,4.7,3.36,3.24,3.21,4.31,4.07,3.88,3,1,0.39,"Male","While I have doubts, I feel that I do believe in God","Humanist","Sunni","No, I’ve never had an experience like this.","Yes.","Brazil"
6,39.21,6.49,2.32,4.88,5.75,5.29,4.22,2.97,2.78,4.06,6.24,2.27,1,1.29,1.05,2.14,4.11,2.91,2.09,3.87,4.33,1.92,2.7,5.27,3.43,3.85,4.29,3.43,2.81,4.77,4.09,3,1,0.29,"Female","I find myself believing in God some of the time, but not at others","Muslim","Orthodox","No, I’ve never had an experience like this.","Yes.","Brazil"
7,33.15,3.81,4.88,3.52,2.96,3.67,3.9,2.66,3.23,3.05,3.93,1.65,1,1.2,0.47,1.87,4.56,4.35,3.43,3.91,5.53,4.83,3.28,3.83,5.45,4.58,4.72,2.64,1.92,4.21,4.87,1,2,0.84,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Other","Sunni","Yes, I’ve had an experience like this.","No","Brazil"
8,41.86,5.35,3.39,3.39,3.76,4.15,3.73,2.89,5.72,4.28,4.22,3.46,1,0.72,0.56,1.6,3.96,3.73,3.02,5.63,5.42,3.04,2.85,4.18,3.56,2.98,2.84,5.89,5.26,4,4.74,3,2,0.9,"Male","I find myself believing in God some of the time, but not at others","Rationalist","Buddhist","No, I’ve never had an experience like this.","No","Brazil"
9,41.99,4.24,3.69,5.39,4.31,5,3.92,4.08,4.53,4.35,5.85,2.99,1,0.63,1.09,0.23,3.54,4.04,3.35,3.98,6,3.99,3.35,3.69,5.03,4.15,3.34,4.56,5.37,3.08,5.87,2,1,1.63,"Male","I find myself believing in God some of the time, but not at others","Other","Daoist","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
10,43.49,4.85,2.9,4.72,4.16,5.07,4.96,3.47,3.13,3.04,5.55,5.45,1,1.17,1.56,0.98,3.86,4.71,4.48,3.73,2.05,2.87,2.57,4.3,3.94,4.17,3.38,2.99,4.32,3.36,5.26,1,1,1.38,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Humanist","Protestant","Yes, I’ve had an experience like this.","Yes.","Brazil"
